H,HOME,D,AWAY,A,,TIME,,Pct,,Under 1.5,Over 1.5,,Under 2.5,Over 2.5,,Yes,No,,Under 3.5,Over 3.5,,Under 4.5,Over 4.5,,0-0,,Home,v,Away,,GRP,,,,Win To Nil,,,TGP,,,,GR-W
'1/1,Feyenoord,'12/5,Real Sociedad,'9/4,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/1,Metz,'23/10,Crystal Palace,'23/20,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'7/5,Werder Bremen,'23/10,West Ham,'13/8,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'13/10,Aston Villa,'12/5,Watford,'17/10,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'17/10,Birmingham,'11/5,Swansea,'11/8,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'23/10,Bolton,'23/10,Stoke,'1/1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10/11,Bor.M'Gladbach,'5/2,Malaga,'12/5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'7/4,Brentford,'5/2,Celta Vigo,'6/5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'8/5,Charlton,'5/2,Ipswich,'13/10,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'11/5,Derby,'12/5,Hoffenheim,'1/1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2/1,Fulham,'12/5,Wolfsburg,'11/10,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'5/2,Grimsby,'13/5,Wigan,'17/20,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/9,Leeds,'3/1,Oxford,'5/1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6/5,Mainz,'12/5,Newcastle,'9/5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'13/10,Middlesbrough,'9/4,Augsburg,'7/4,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6/4,Norwich,'9/4,Brighton,'6/4,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12/5,Nottm Forest,'5/2,Burnley,'10/11,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'17/10,QPR,'12/5,Bournemouth,'5/4,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'6/4,Reading,'5/2,Vitesse,'11/8,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'7/4,Rotherham,'11/4,Barnsley,'11/10,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'23/10,Wolves,'23/10,Leicester,'1/1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'11/5,St Etienne,'23/10,Southampton,'21/20,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/5,Sporting Lisbon,'5/2,Fiorentina,'14/5,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
