,,,Saturday 5th & Sunday 6th August,,,,,,Total Goals,,,Goal Rush,
,,,German Super Cup,,,,,,Under,Over,,Yes,No
,,Borussia Dortmund,,Bayern Munich,,19.30,BT,F,,,,,
,,,Womens European Championship Final,,,,,,,,,,
,,,,,,16.00,C4,,,,,,
,,,Austrian Bundesliga,,,,,,,,,,
,,LASK Linz,,St. Polten,,15.00,,,,,,,
,,Salzburg,,Admira,,17.30,,,,,,,
,,AC Wolfsberger,,Altach,,S 15.30,,,,,,,
,,Rapid Vienna,,Austria Vienna,,S 15.30,,,,,,,
,,Mattersburg,,Sturm Graz,,S 18.00,,,,,,,
,,,Belgium Juplier,,,,,,,,,,
,,Mouscron,,Charleroi,,17.00,,,,,,,
,,Kortrijk,,Lokeren,,19.00,,,,,,,
,,Waasland-Beveren,,Mechelen,,19.00,,,,,,,
,,Waregem,,St. Truiden,,19.30,,,,,,,
,,Gent,,Antwerp,,S 13.30,,,,,,,
,,Anderlecht,,Oostende,,S 17.00,,,,,,,
,,Club Brugge ,,Eupen,,S 19.00,,,,,,,
,,,Chinese Super League,,,,,,,,,,
,,Beijing Guoan,,Shandong Luneng,,12.35,,,,,,,
,,Guangzhou Evergrande,,Tianjin Teda,,12.35,,,,,,,
,,Guizhou Zhicheng,,Chongqing Lifan,,12.35,,,,,,,
,,Hebei,,Yanbian,,12.35,,,,,,,
,,Jiangsu Suning,,Henan Jianye,,12.35,,,,,,,
,,Shanghai Shenhua,,Changchun Yatai,,12.35,,,,,,,
,,Guangzhou R&F,,Liaoning,,S 12.35,,,,,,,
,,Shanghai SIPG,,Tianjin Quanjian,,S 12.35,,,,,,,
,,,Croatian 1 HNL,,, ,,,,,,,
,,Rudes,,Zapresic,,18.00,,,,,,,
,,Belupo,,Cibalia,,20.00,,,,,,,
,,Dinamo Zagreb,,Hajduk Split,,S 18.00,,,,,,,
,,,Czech Gambrinus,,,,,,,,,,
,,Bohemians 1905,,Karvina,,16.00,,,,,,,
,,Sigma Olomouc,,Liberec,,16.00,,,,,,,
,,Teplice,,Dukla Prague,,16.00,,,,,,,
,,Zlin,,Brno,,16.00,,,,,,,
,,Jablonec,,Plzen,,S 15.00,,,,,,,
,,Jihlava,,Slovacko,,S 15.00,,,,,,,
,,Ostrava,,Slavia Prague,,S 17.00,,,,,,,
,,,Danish Superleague,,,,,,,,,,
,,Hobro,,Randers ,,15.00,,,,,,,
,,Lyngby,,Nordsjaelland,,S 11.00,,,,,,,
,,Helsingor,,Midtjylland,,S 13.00,,,,,,,
,,Odense,,Aalborg,,S 15.00,,,,,,,
,,Brondby,,Copenhagen,,S 17.00,,,,,,,
,,,Finnish Veikkausliga,,,,,,,,,,
,,Ilves,,JJK ,,15.00,,,,,,,
,,KuPS,,Rovaniemi,,15.00,,,,,,,
,,HJK,,Lahti,,S 13.00,,,,,,,
,,Mariehamn,,SJK,,S 13.00,,,,,,,
,,VPS,,PS Kemi,,S 13.00,,,,,,,
,,,France - La Championnat,,,,,,,,,,
,,PSG,,Amiens,,16.00,,,,,,,
,,Lyon,,Strasbourg,,19.00,,,,,,,
,,Metz,,Guingamp,,19.00,,,,,,,
,,Montpellier,,Caen,,19.00,,,,,,,
,,St Etienne,,Nice,,19.00,BT,F,,,,,
,,Troyes,,Rennes,,19.00,,,,,,,
,,Lille,,Nantes,,S 14.00,BT,,,,,,
,,Angers,,Bordeaux,,S 16.00,BT,,,,,,
,,Marseille,,Dijon,,S 20.00,BT,,,,,,
,,,Icelandic Premier League,,,,,,,,,,
,,KA Akureyri,,Hafnarfjordur,,17.00,,,,,,,
,,,Norway Tippligaen,,,,,,,,,,
,,Rosenborg,,Kristiansund,,17.00,,,,,,,
,,Odd Grenland,,Sogndal,,S 17.00,,,,,,,
,,Sarpsborg ,,Haugesund,,S 17.00,,,,,,,
,,Stabaek,,Sandefjord,,S 17.00,,,,,,,
,,Tromso,,Molde,,S 17.00,,,,,,,
,,Viking,,Lillestrom,,S 17.00,,,,,,,
,,Aalesund,,Brann,,S 19.00,,,,,,,
,,,Polish Ekstraklasa,,,,,,,,,,
,,Lechia Gdansk,,Gornik Zabrze,,14.30,,,,,,,
,,Zaglebie,,Pogon Szczecin,,17.00,,,,,,,
,,Termalica B-B.,,Legia,,19.30,,,,,,,
,,Jagiellonia,,Sandecja Nowy S.,,S 14.30,,,,,,,
,,Cracovia,,Lech Poznan,,S 17.00,,,,,,,
,,,Portugal Primera,,,,,,,,,,
,,Aves,,Sporting,,S 18.00,,,,,,,
,,Setubal,,Moreirense,,S 20.15,,,,,,,
,,,Romania Divizia A,,,,,,,,,,
,,Sepsi,,FC Viitorul,,16.30,,,,,,,
,,Poli Iasi,,CFR Cluj,,19.00,,,,,,,
,,CS U. Craiova,,Astra,,S 16.30,,,,,,,
,,Concordia,,Steaua Bucharest,,S 19.00,,,,,,,
,,,Russian Premier League,,,,,,,,,,
,,Ufa,,Akhmat Grozny,,13.00,,,,,,,
,,Dynamo Moscow,,Amkar,,15.30,,,,,,,
,,Lokomotiv Moscow,,SKA Khabarovsk,,18.00,,,,,,,
,,Arsenal Tula,,Tosno,,S 13.00,,,,,,,
,,CSKA Moscow,,Rubin Kazan,,S 15.30,,,,,,,
,,Krasnodar,,Ural,,S 18.00,,,,,,,
,,Zenit St P',,Spartak Moscow,,S 18.00,,,,,,,
,,,Slovakia Fortuna Liga,,,,,,,,,,
,,Trnava,,Trencin,,17.30,,,,,,,
,,Podbrezova,,Michalovce,,18.00,,,,,,,
,,Zlate Moravce,,Zilina,,18.00,,,,,,,
,,Dun. Streda,,Ruzomberok,,S 17.30,,,,,,,
,,,Slovenian Prva Liga,,,,,,,,,,
,,Triglav,,NK Ljubljana,,15.50,,,,,,,
,,Rudar,,Krsko,,19.30,,,,,,,
,,Ankaran Hrvatini,,Maribor,,S 15.50,,,,,,,
,,Domzale,,ND Gorica,,S 19.00,,,,,,,
,,,Swedish Allsvenskan,,,,,,,,,,
,,Halmstad,,Jonkopings,,15.00,,,,,,,
,,Orebro,,Elfsborg,,17.00,,,,,,,
,,Hammarby,,Hacken,,S 14.00,,,,,,,
,,Kalmar,,Goteborg,,S 14.00,,,,,,,
,,Sundsvall,,Ostersunds,,S 14.00,,,,,,,
,,Sirius,,AIK Stockholm,,S 16.30,,,,,,,
,,,Swedish Superettan,,,,,,,,,,
,,GAIS,,Falkenbergs,,15.00,,,,,,,
,,Norrby,,Helsingborg,,15.00,,,,,,,
,,Varbergs,,Osters,,15.00,,,,,,,
,,Frej,,Syrianska,,17.00,,,,,,,
,,Atvidabergs,,Dalkurd,,S 14.00,,,,,,,
,,Brommapojkarna,,Trelleborgs,,S 16.00,,,,,,,
,,Varnamo,,Gefle,,S 16.00,,,,,,,
,,,Swiss Super League,,,,,,,,,,
,,Lugano,,Zurich,,18.00,,,,,,,
,,Thun,,Basel,,18.00,,,,,,,
,,Luzern,,Grasshoppers,,S 15.00,,,,,,,
,,St. Gallen,,Sion,,S 15.00,,,,,,,
,,Young Boys,,Lausanne,,S 15.00,,,,,,,
,,,Brazil Serie A,,,,,,,,,,
,,Corinthians,,Sport Recife,,23.59,,,,,,,
,,Flamengo RJ,,Vitoria,,S 15.00,,,,,,,
,,Bahia,,Sao Paulo,,S 20.00,,,,,,,
,,Coritiba,,Chapecoense-SC,,S 20.00,,,,,,,
,,Cruzeiro,,Botafogo RJ,,S 20.00,,,,,,,
,,Gremio,,Atletico-MG,,S 20.00,,,,,,,
,,Palmeiras,,Atletico-PR,,S 20.00,,,,,,,
,,Avai,,Santos,,S 23.59,,,,,,,
,,Ponte Preta,,Vasco,,S 23.59,,,,,,,
,,,Brazil Serie B,,,,,,,,,,
,,ABC,,Ceara,,20.30,,,,,,,
,,Guarani,,Internacional,,20.30,,,,,,,
,,Juventude,,Santa Cruz,,20.30,,,,,,,
,,Londrina,,Vila Nova FC,,20.30,,,,,,,
,,Boa,,Parana,,23.59,,,,,,,
,,Paysandu PA,,Figueirense,,23.59,,,,,,,
,,,US Major League,,,,,,,,,,
,,DC Utd,,Toronto FC,,23.59,,,,,,,
,,Philadelphia Union,,FC Dallas,,23.59,,,,,,,
,,Montreal Impact,,Orlando City,,23.59,,,,,,,
,,Minnesota,,Seattle Sounders,,23.59,,,,,,,
,,Chicago Fire,,New England Rev',,23.59,,,,,,,
,,Colorado Rapids,,Vancouver Whitecaps,,23.59,,,,,,,
,,Real Salt Lake,,Houston Dynamo,,23.59,,,,,,,
,,San Jose Earthquakes,,Columbus Crew,,23.59,,,,,,,
,,Portland Timbers,,Los Angeles Galaxy,,S 21.00,,,,,,,
,,New York City,,New York Red Bulls,,S 23.59,,,,,,,
,,Sporting Kansas City,,Atlanta United,,S 23.59,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
